"","Level 4 :","Death Waltz","Death Warden","Level 19 :","Carnival of Misery","","Level 39 :","Captive Audience","Medicae","","Cloak","Von Valacius Cloak","Swashbuckler Cloak","Swashbuckler Cloak","Swashbuckler Cloak","","","Level 4 :","Dismantling Attack","Tide of Excellence","Level 19 :","Overcharge","","Level 39 :","Sensory Deprivation","Lore Warp","","Cloak","Phantom Cloak","Singed Cape","Singed Cape","Singed Cape","","","Level 4 :","Daring Breach","Thick Skin","Level 19 :","Steady Superiority","","Level 39 :","Firestorm","Athletics","","Cloak","Xenopelt Cloak","Malpian Shroud","Malpian Shroud","Lady Theodora's Mantle","","","Level 4 :","Dismantling Attack","Tide of Excellence","Level 19 :","Dispatch","","Level 39 :","Santic Powers","Lore Warp","","Cloak","Phantom Cloak","Dimensional Traveller Cloak / Malpian Shroud","Dimensional Traveller Cloak / Malpian Shroud","Singed Cloak / Malpian Shroud","","","Level 4 :","Daring Breach","Thick skin","Level 19 :","Steady Superiority","","Level 39 :","Dominate","Athletics","","Cloak","Xenopelt Cloak","Malpian Shroud","Malpian Shroud","Arch-Militant Cape","","","Level 4 :","Death Waltz","Death Warden","Level 19 :","Carnival of Misery","","Level 39 :","Captive Audience","Medicae","","Cloak","Von Valacius Cloak","Malpian Shroud / Swashbuckler Cloak","Malpian Shroud / Swashbuckler Cloak","Malpian Shroud / Swashbuckler Cloak","","","Level 4 :","Firearm Mastery","Muzzle Velocity","Level 19 :","Steady Superiority","","Level 39 :","Sanctic Powers","Awareness","","Cloak","Camouflage Robe","Malpian Shroud / Tactical Backpack","Malpian Shroud / Tactical Backpack","Malpian Shroud / Tactical Backpack","","","Level 4 :","Death Waltz","Death Warden","Level 19 :","Carnival of Misery","","Level 39 :","Captive Audience","Medicae","","Cloak","Von Valacius Cloak","Malpian Shroud / Swashbuckler Cloak","Swashbuckler Cloak","Swashbuckler Cloak",""
"","Level 5 :","Psyker Minoris","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Destroyer","Racking Weakness","","Neck","Daemon Tool","Daemon Tool","Daemon Tool","Starmist Scarf / Daemon Tool","","","Level 5 :","Willpower","Psyker Minoris","Level 20 :","Ap +1","Willpower","Level 40 :","Malign Influence","Sacrificial Penance","","Neck","Missionary Oath","Vortex Pendant","Vortex Pendant","Vortex Pendant","","","Level 5 :","Ramming Speed","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Destroyer","Distract","","Neck","","Invigorating Resolve","Invigorating Resolve","Starmist Scarf","","","Level 5 :","Intelligence","Psyker Minoris","Level 20 :","AP +1","Willpower","Level 40 :","Contagion","Weak Hearts","","Neck","Gem of Dark Vitality","Chain of Crystals / Invigorating Resolve","Chain of Crystals / Invigorating Resolve","Starmist Scarf / Invigorating Resolve","","","Level 5 :","Ramming Speed","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Destroyer","Dismantle","","Neck","Grace of the Oblivious","Invigorating Resolve","Invigorating Resolve","Invigorating Resolve","","","Level 5 :","Psyker Minoris","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Destroyer","Deterioration ","","Neck","","Invigorating Resolve / Anatomist's Amulet","Invigorating Resolve / Anatomist's Amulet","Invigorating Resolve / Anatomist's Amulet","","","Level 5 :","Ballistic Skill","Rapid Reload","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Extermination","Contempt for the Weak","","Neck","","Invigorating Resolve / Chain of Crystals","Invigorating Resolve / Chain of Crystals","Invigorating Resolve / Starmist Scarf","","","Level 5 :","Psyker Minoris","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Destroyer","Fragile Playthings","","Neck","","Invigorating Resolve / Anatomist's Amulet","Daemon Tool","Psy Focus",""
"","Level 6 :","Blood Oath","Medicae","Level 21 :","Weapon Skill","Biophysical Distortion","Level 41 :","Weapon Skill","Grand Performance","","Accessory 1","","Warp Surge Brooch","Warp Surge Brooch / Hand of Offence","Hand of Offence / Warp Surge Brooch","","","Level 6 :","Uncanny Sight","Intelligence","Level 21 :","Rite of Calibration","Willpower","Level 41 :","Willpower","Aftershock","","Accessory 1","","Spirit Drape","Spirit Drape","Spirit Drape","","","Level 6 :","Reckless Strike","Athletics","Level 21 :","Allout","Weapon Skill","Level 41 :","Weapon Skill","Easy Target","","Accessory 1","","Warp Surge Brooch","Warp Surge Brooch","Warp Surge Brooch","","","Level 6 :","Uncanny Sight","Intelligence","Level 21 :","Imminent Demise","Willpower","Level 41 :","Willpower","Comprehensive Analysis","","Accessory 1","","Warp Surge Brooch","Warp Surge Brooch","Warp Surge Brooch","","","Level 6 :","Sensory Deprivation","Athletics","Level 21 :","Allout","Weapon Skill","Level 41 :","Weapon Skill","Easy Target","","Accessory 1","First Aid Manual","First Aid Manual","First Aid Manual","Hellbrute Horn Trophy","","","Level 6 :","Blood Oath","Medicae","Level 21 :","Weapon Skill","Sower of Distress","Level 41 :","Weapon Skill","Grand Performance","","Accessory 1","","Warp Surge Brooch","Warp Surge Brooch","Warp Surge Brooch","","","Level 6 :","Ballistic Skill","Rapid Fire","Level 21 :","All out","Ballistic Skill","Level 41 :","Ballistic Skill","Enough Bullets for Everyone","","Accessory 1","Mark of the Ruler","Warp Surge Brooch","Warp Surge Brooch","Warp Surge Brooch","","","Level 6 :","Blood Oath","Medicae","Level 21 :","Weapon Skill","Biophysical Distortion","Level 41 :","Weapon Skill","Grand Performance","","Accessory 1","","Warp Surge Brooch","Warp Surge Brooch / Grimoire of the Void","Warp Surge Brooch / Grimoire of the Void",""
"","Level 7 :","Weapon Skill","Blood Rush","Level 22 :","Orchestrate Flame / Firestorm ","","Level 42 :","Reckless Abandon / Enfeeble","Agility","","Accessory 2","","Spirit Drape","Spirit Drape","Spirit Drape","","","Level 7 :","Pyromancy","Lore Imperium","Level 22 :","Enfeeble","Lore Imperium","Level 42 :","Psychic Assault","Intelligence","","Accessory 2","","Warp Surge Brooch","Warp Surge Brooch","Warp Surge Brooch","","","Level 7 :","Weapon Skill","Psyker Minoris","Level 22 :","Wildfire","Pysker Majoris","Level 42 :","Devastating Attack","Toughness","","Accessory 2","","Spirit Drape","Hand of Offence","Hand of Offence","","","Level 7 :","Pyromancy","Lore Imperium","Level 22 :","Lore Imperium","Firestorm","Level 42 :","Shield of the Emperor","Intelligence","","Accessory 2","","Spirit Drape / Saint Cognacius's Scriptures","Spirit Drape / Saint Cognacius's Scriptures","Notes On Weaknesses (DT cloak will kill you)","","","Level 7 :","Weapon Skill","Psyker Minoris","Level 22 :","Wildfire","Characteristic Training: Per","Level 42 :","Kick","Toughness","","Accessory 2","","Combat Manipulator","Combat Manipulator","Blades Clone Field","","","Level 7 :","Weapon Skill","Blood Rush","Level 22 :","Pyromancy","","Level 42 :","Reckless Abandon","Agility","","Accessory 2","","Spirit Drape","Spirit Drape / Hand of Offence","Spirit Drape / Hand of Offence","","","Level 7 :","Agility","Psyker Minoris","Level 22 :","Wilfire","Fire Within","Level 42 :","Shield of the Emperor","Agility","","Accessory 2","Book of war prayers ","Chains of Domination","Hand of Offence","Hand of Offence","","","Level 7 :","Weapon Skill","Blood Rush","Level 22 :","Pain Resonance","","Level 42 :","Sanctic Powers","Agility","","Accessory 2","","Diagnoster / Grimoire of the Void","Hand of Offence","Hand of Offence",""
"","Level 8 :","Demolition","Body of Flames","Level 23 :","Sparks of the Greater Flame","Medicae","Level 43 :","Psyker Extremis","Calculated Resolve","","Gloves","Avenger Gauntlets","Augmented Gloves","Augmented Gloves / Hand of Avolius","Hand of Avolius","","","Level 8 :","Backdraft","Pain Channelling","Level 23 :","Psy-Resonator","","Level 43 :","Suppression Factor","Contagious Luck","","Gloves","Stalker Gloves","","","Abyssal Conduit","","","Level 8 :","Athletics","Impetus","Level 23 :","Athletics","Flashfire","Level 43 :","Breaking Attack","Lethal Precision","","Gloves","Gloves of Endurance","Augmented Gloves","Augmented Gloves","Augmented Gloves","","","Level 8 :","Backdraft","Pain Channelling","Level 23 :","Lethality Heightens","","Level 43 :","Mind Thief","Calculated Resolve","","Gloves","Stalker Gloves","Thrice Pioneer's Bracers","Thrice Pioneer's Bracers","Abyssal Conduit","","","Level 8 :","Athletics","Impetus","Level 23 :","Athletics","Flashfire","Level 43 :","Martial Art","Residual Power","","Gloves","Relished Anguish","Adaptive Gloves","Adaptive Gloves","Adaptive Gloves","","","Level 8 :","Demolition","Wounded Beast","Level 23 :","Sparks of the Greater Flame","Medicae","Level 43 :","Racking Weakness","Psyker Extremis","","Gloves","Avenger Gauntlets","Augmented Gloves","Augmented Gloves","Hand of Avolius","","","Level 8 :","Unfaltering Fire","Demolition","Level 23 :","Demolition","Flash Fire","Level 43 :","Exploit Weakness","Melting Armour","","Gloves","Stalker Gloves / Stabilising Bracers","Recoil Gloves","Gloves of Rapid Desolation","Compensator Gloves / Abyssal Gloves","","","Level 8 :","Demolition","Wounded Beast","Level 23 :","Sparks of the Greater Flame","Medicae","Level 43 :","Racking Weakness","Calculated Resolve","","Gloves","Avenger Gauntlets","Augmented Gloves","Augmented Gloves","Hand of Avolius",""
"","Level 9 :","Death Waltz II","","Level 24 :","Agility","Psyker Majoris","Level 44 :","Demolition","Extermination","","Boots","Skirmisher Boots","Inertia Boots","Inertia Boots","Inertia Boots","","","Level 9 :","Dismantling Attack III","Lore Imperium","Level 24 :","Intelligence","Psyker Terminus","Level 44 :","Lore Imperium","Extermination","","Boots","","Psyker's Footware","Psyker's Footware","Boots of Decay","","","Level 9 :","Daring Breach II","","Level 24 :","Toughness","Psyker Terminus","Level 44 :","Carouse","Degraded Defence","","Boots","Pneumo Boots","Pneumo Boots","Pneumo Boots","Void Veteran Boots","","","Level 9 :","Dismantling Attack III","Lore Imperium","Level 24 :","Perception","Blazing Inferno / NSB","Level 44 :","Lore Imperium","Degraded Defence","","Boots","","Psyker's Footwear","","Boots of Decay","","","Level 9 :","Daring Breach II","","Level 24 :","Perception","Psyker Terminus","Level 44 :","Carouse","Degraded Defence","","Boots","Pneumo Boots","Pneumo Boots","Pneumo Boots","Void Veteran Boots","","","Level 9 :","Death Waltz II","","Level 24 :","Agility","Psyker Majoris","Level 44 :","Demolition","Degraded Defence","","Boots","Skirmisher Boots","Inertia Boots","Inertia Boots","Inertia Boots","","","Level 9 :","Firearm Mastery II","","Level 24 :","Agility","Psyker Terminus","Level 44 :","Demolition","Deadly Aim","","Boots","Skirmisher Boots","Warmonger Boots / Psyker's Footware","Recoil Warboots","Caligae of Saint Keefe","","","Level 9 :","Death Waltz II","","Level 24 :","Agility","Psyker Majoris","Level 44 :","Demolition","Extermination","","Boots","Skirmisher Boots","Inertia Boots","Inertia Boots","Inertia Boots",""
"","Level 10 :","Facing the End","Agility","Level 25 :","Relentless Blaze","","Level 45 :","AP +1","","","Weapon Set 1","Noble Sword","Cursebringer","Cursebringer","Incinerator","","","Level 10 :","Lore Warp","Perception","Level 25 :","Castigating Echoes","","Level 45 :","Ap +1","","","Weapon Set 1","Psychic Staff / Charged Staff","Charged Staff","Bloodrinker Staff","Bloodrinker Staff","","","Level 10 :","Body of Flames","Strength","Level 25 :","Dependable","","Level 45 :","AP +1","","","Weapon Set 1","Retobi-Pattern Greatsword","Fatebringer","Fatebringer","Righteous Justice","","","Level 10 :","Lore Warp","Perception","Level 25 :","Perfect Opening","","Level 45 :","Ap +1","","","Weapon Set 1","Charged Staff","Charged Staff","Charged Staff","Solar Staff / Staff of Shock and Awe","","","Level 10 :","Opening Strike","Strength","Level 25 :","Broad Expertise","","Level 45 :","AP +1","","","Weapon Set 1","Sol Pattern Chainsword","Epiphany","Epiphany","Sol Pattern Elite Powersword","","","Level 10 :","Dance Partners","Agility","Level 25 :","Master of Torture","","Level 45 :","AP +1","","","Weapon Set 1","Noble Sword","Cursebringer","Cursebringer","Incinerator","","","Level 10 :","Alacrity","Agility","Level 25 :","Armsmaster","","Level 45 :","AP +1","","","Weapon Set 1","Modified Lasgun","Hot Shot Lasgun","Mezoa-Pattern Lasgun","Necrontech Hot Shot Lasgun","","","Level 10 :","Facing the End","Agility","Level 25 :","Sower of Distress","","Level 45 :","AP +1","","","Weapon Set 1","Noble Sword","Cursebringer","Cursebringer","Incinerator",""
"","Level 11 :","Acrobatic Artistry / Orchestrate Flame","Dance Partners","Level 26 :","Agility","Medicae","Level 46 :","Duellist","Demolition","","","Veilrender","Awakened Nightmare","Awakened Nightmare","Cursebringer","","","Level 11 :","Ballistics Calculation","Lore Warp","Level 26 :","Intelligence","Lore Imperium","Level 46 :","Continuous Analysis","Lore Imperium","","","","","","","","","Level 11 :","Orchestrate flame","Heavy Armour","Level 26 :","Athletics","Toughness","Level 46 :","Psyker Extremis","Carouse","","","","","","","","","Level 11 :","Ballistics Calculation","Lore Warp","Level 26 :","Perception","Lore Imperium","Level 46 :","Weak Body, Weak Soul","Lore Imperium","","","","","","","","","Level 11 :","Reckless Strike","Heavy Armour","Level 26 :","Athletics","Perception","Level 46 :","Weak Hearts","Carouse","","","Ripper Autopistol","Mezoa Pattern Auto pistol","Mezoa Pattern Auto pistol","Anti-Vehicle Revolver","","","Level 11 :","Acrobatic Artistry","Facing the End","Level 26 :","Agility","Medicae","Level 46 :","Duellist","Demolition","","","Veilrender","Awakened Nightmare","Awakened Nightmare","Cursebringer","","","Level 11 :","Firestorm","Awareness","Level 26 :","Demolition","Agility","Level 46 :","Hymns of Hatred","Demolition","","","","","","","","","Level 11 :","Acrobatic Artistry","Dance Partners","Level 26 :","Agility","Medicae","Level 46 :","Duellist","Demolition","","","Veilrender","Awakened Nightmare","Awakened Nightmare","Cursebringer",""
"","Level 12 :","Agility","Demolition","Level 27 :","Carnival of Misery III","","Level 47 :","Melting Armour","Awareness","","Weapon Set 2","Psyker Staff","Charged Staff","Charged Staff","Solar Staff","","","Level 12 :","Biomancy","Second Sight","Level 27 :","Overcharge II","","Level 47 :","Comprehensive Analysis","Lore Xenos","","Weapon Set 2","Long-las","Charged Staff","Charged Staff","Staff of Shock and Awe","","","Level 12 :","Toughness","Carouse","Level 27 :","Steady Superiority IV","","Level 47 :","Relentless Blaze","Medicae","","Weapon Set 2","Psyker Staff","Charged Staff","Charged Staff","Solar Staff / Well-Maintained Rock Saw","","","Level 12 :","Sensory Deprivation","Second Sight","Level 27 :","Dispatch II","","Level 47 :","Psalms of Heroes","Lore Xenos","","Weapon Set 2","Long Las","Staff of Endless Flame","Staff of Endless Flame","Sanctified Staff","","","Level 12 :","Toughness","Carouse","Level 27 :","Steady Superiority IV","","Level 47 :","Visions of Doom","Medicae","","Weapon Set 2","Charged Staff","Charged Staff","Charged Staff","Staff of Shock and Awe","","","Level 12 :","Agility","Demolition","Level 27 :","Carnival of Misery III","","Level 47 :","Blade in his hands","Awareness","","Weapon Set 2","Psyker Staff","Charged Staff","Charged Staff","Solar Staff","","","Level 12 :","Willpower","Never Stop Believing","Level 27 :","Steady Superiority IV","","Level 47 :","Psalms of Heroes","Demolition","","Weapon Set 2","Charged Staff","Charged Staff","Charged Staff","Sanctified Staff / Solar Staff","","","Level 12 :","Agility","Demolition","Level 27 :","Carnival of Misery III","","Level 47 :","Blade in His Hand","Awareness","","Weapon Set 2","Charged Staff","Charged Staff","Charged Staff","Solar Staff",""
"","Level 13 :","Wounded Beast","Carouse","Level 28 :","Fire Within","","Level 48 :","All-Encompassing Agony","Agility","","","","","","","","","Level 13 :","Fresh Target","Perception","Level 28 :","Weak Hearts","Fire Within","Level 48 :","Mental Breach","Intelligence","","","","","","","","","Level 13 :","Open Engagement","Carouse","Level 28 :","Carouse","Adaptability","Level 48 :","Contempt for the weak","Toughness","","","","","","","","","Level 13 :","Fresh Target","Willpower","Level 28 :","Psyker Terminus","Dissary","Level 48 :","Killing Spree","Intelligence","","","","","","","","","Level 13 :","Open Engagement","Carouse","Level 28 :","Carouse","Adaptability","Level 48 :","Exploit Weakness","Toughness","","","","","","","","","Level 13 :","Biophysical Distortion","Carouse","Level 28 :","All-Encompassing Agony","","Level 48 :","Melting Armour","Agility","","","","","","","","","Level 13 :","Fired Up","Backdraft","Level 28 :","Awareness","Adaptability","Level 48 :","Blazing Inferno","Agility","","","","","","","","","Level 13 :","Fire Within","Carouse","Level 28 :","Blade of Light","","Level 48 :","Deep Laceration","Agility","","","","","","",""
"","Level 14 :","Willpower","Sweeping Motions / Blazing Inferno","Level 29 :","Willpower","Demolition","Level 49 :","Willpower","Awareness","","","","","","","","","Level 14 :","Willpower","Psyker Majoris","Level 29 :","Perception","Lore Warp","Level 49 :","Perception","Lore Xenos","","","","","","","","","Level 14 :","Toughness","Steel of the Forge","Level 29 :","Strength","Characteristic Training: Per","Level 49 :","Strength","Medicae","","","","","","","","","Level 14 :","Willpower","Psyker Majoris","Level 29 :","Intelligence","Lore Warp","Level 49 :","Perception","Lore Xenos","","","","","","","","","Level 14 :","Toughness","Psyker Majoris","Level 29 :","Perception","Pain Channelling","Level 49 :","Willpower","Medicae","","","","","","","","","Level 14 :","Willpower","Sweeping Motions","Level 29 :","Willpower","Demolition","Level 49 :","Willpower","Awareness","","","","","","","","","Level 14 :","Psyker Majoris","Awareness","Level 29 :","Perception","Psychic Barrage","Level 49 :","Willpower","Medicae","","","","","","","","","Level 14 :","Willpower","Sweeping Motions","Level 29 :","Willpower","Demolition","Level 49 :","Willpower","Awareness","","","","","","",""
"","Level 15 :","Death Waltz III","","Level 30 :","Inflame","Blade of Light","Level 50 :","Degraded Defence","It Takes Two","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Dismantling II / IV","","Level 30 :","Warp Speed","","Level 50 :","Eager for Battle","Still Mind","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Daring Breach IV","","Level 30 :","Inflame","","Level 50 :","Eager for Battle","Desolation","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Dismantling II","","Level 30 :","Molten Beam","","Level 50 :","Extermination","Hymns of Hatred","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Daring Breach IV","","Level 30 :","Psychic Assault","","Level 50 :","Extermination","Desolation","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Death Waltz III","","Level 30 :","Firestorm","Psyker Terminus","Level 50 :","Extermination","It Takes Two","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Firearm Mastery III","","Level 30 :","Molten Beam","","Level 50 :","Vital Points","Edge of Dawn","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Death Waltz III","","Level 30 :","Reckless Abandon","Melting Armour","Level 50 :","Degraded Defence","Hymns of Hatred","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion"
"","","","","Level 31 :","Master of Torture","","Level 51 :","Backdraft / Deterioration","Awareness","","Focal Emitter MK-I","Neural System Graft MK Warrior","Telemetric Logis Analyser MK Officer","","","Skullcrushers","Act 2","","","","Level 31 :","Melting Armour","Warp Saturation","Level 51 :","Corpus Conversion","Lore Xenos","","","","","","","","Act 2","","","","Level 31 :","Critical Versatility","","Level 51 :","Preferred Targets","Medicae","","Focal Emitter MK-I","Neural System Graft MK Warrior","","","","Skullcrushers","Act 2","","","","Level 31 :","Fire Within","Seize the advantage","Level 51 :","Edge of Dawn","Lore Xenos","","","","","","","","Act 2","","","","Level 31 :","Critical Versatility","","Level 51 :","Distract","Medicae","","","","","","","","Act 2","","","","Level 31 :","Backdraft","","Level 51 :","Invigorating Screams","Awareness","","Focal Emitter MK-I","Neural System Graft MK Warrior","","","Chymist Combat Infuser MK Soldier","Skullcrushers","Act 2","","","","Level 31 :","Critical Versatility","","Level 51 :","Sanctified Slayer","Medicae","","","Weapon Optimiser MK-I","","","Hand of the Righteous","","","","","","Level 31 :","Master of Torture","","Level 51 :","Edge of Dawn","Awareness","","Focal Emitter MK-I","Neural System Graft MK Warrior","","","","Skullcrushers"
"","","","","Level 32 :","Willpower","Demolition","Level 52 :","Bloody Requiem","Lethal Precision","","Focal Emitter MK-I","Neural System Graft MK Warrior","Telemetric Logis Analyser MK I","","Pneumatic Assault Grapple MK 'Warrior'","Skullcrushers","Act 3","","","","Level 32 :","Perception","Lore Warp","Level 52 :","Bloody Mess","Jinx","","","","","","","","Act 3","","","","Level 32 :","Perception","Carouse","Level 52 :","Backdraft","Motive-Force Overload","","Focal Emitter MK-I","Neural System Graft MK Warrior","","","Pneumatic Assault Grapple MK-I","Skullcrushers","Act 3","","","","Level 32 :","Lore Warp","","Level 52 :","Sanctified Slayer	","Sacred Rituals","","","","","","","","Act 3","","","","Level 32 :","Strength","Carouse","Level 52 :","Preferred Targets","Motive Force Overload","","","","","","","","Act 3","","","","Level 32 :","Willpower","Demolition","Level 52 :","Sickening Pain","Lethal Precision","","Focal Emitter MK-I","Neural System Graft MK Warrior","","","Chymist Combat Infuser","Skullcrushers","Act 3","","","","Level 32 :","Perception","Awareness","Level 52 :","Camaraderie / Broad Expertise","Calculated Resolve","","","Weapon Optimiser MK-I","","","Hand of the Righteous","","","","","","Level 32 :","Willpower","Demolition","Level 52 :","Psalms of Heroes","Residual Power","","Focal Emitter MK-I","Neural System Graft MK-II","Psy Capacitor","","Pneumatic Assault Grapple MK 'Warrior'","Skullcrushers"
"","","","","Level 33 :","Sower of Distress","","Level 53 :","Firestorm / Warp Speed / Molten Beam","Willpower","","Focal Emitter MK-II","Neural System Graft MK Assassin","Telemetric Logis Analyser MK II","","Pneumatic Assault Grapple MK 'Warrior'","Skullcrushers","Act 4","","","","Level 33 :","Deterioration","","Level 53 :","Mind Rupture","Perception","","","","","","","","Act 4","","","","Level 33 :","Exploit Weakness","Perception","Level 53 :","Molten Beam","Strength","","Focal Emitter MK-II","Neural System Graft MKII","Telemetric Logis Analyser MK II","","Pneumatic Assault Grapple MK-II","Skullcrushers","Act 4","","","","Level 33 :","Mind Siege","Intelligence","Level 53 :","Hammer of the Emperor","Perception","","Cerebral Holo-Ocular MK 'Operative'","Neural System Graft MK 'Assassin'","Cerebral Inverter MK 'Operative'","","Hand of the Cursed","Phase Oscillator MK-II","Act 4","","","","Level 33 :","Contempt for the weak","Willpower","Level 53 :","Devastating Attack","Willpower","","","","","","","","Act 4","","","","Level 33 :","Fire Within","","Level 53 :","Molten Beam","Willpower","","Focal Emitter MK-II","Neural System Graft MKII","","","Chymist Combat Infuser","Skullcrushers","Act 4","","","","Level 33 :","Distract","Willpower","Level 53 :","Hammer of the Emperor","Willpower","","Focal Emitter MK Soldier","Weapon Optimiser MK-II","Cerebral Inverter MK-II","","Hand of the Righteous","","","","","","Level 33 :","All-Encompassing Agony","","Level 53 :","Exsanguination","Willpower","","Focal Emitter MK-II","Neural System Graft MK Assassin","Psy Capacitor","","Pneumatic Assault Grapple MK 'Warrior'","Skullcrushers"
"","","","","Level 34 :","Willpower","Psyker Terminus","Level 54 :","Eager for Battle / Critical Velocity","Race Against Death","","","","","","","","Act 5","","","","Level 34 :","Psyker Extremis","","Level 54 :","Cataclysm","Warp Minds","","","","","","","","Act 5","","","","Level 34 :","Perception","Melting Armour","Level 54 :","Extermination","Accustomed to Glory","","","","","","","","Act 5","","","","Level 34 :","Psyker Extremis","","Level 54 :","Eager for Battle","Eternal Glory","","","","","","","","Act 5","","","","Level 34 :","Willpower","Psyker Extremis","Level 54 :","Eager for battle","Breaking Attack","","","","","","","","Act 5","","","","Level 34 :","Willpower","Blade of Light","Level 54 :","Eager for Battle","Bloody Requiem","","","","","","","","Act 5","","","","Level 34 :","Willpower","Psyker Extremis","Level 54 :","Eager for Battle","Eternal Glory","","","","","","","","","","","","Level 34 :","Willpower","Psyker Terminus","Level 54 :","Eager for Battle","Deterioriation","","","","","","",""
"","","","","Level 35 :","Carnival of Misery IV","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Overcharge I","","Level 55 :","Ap +1","","","","","","","","","","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Dispatch III","","Level 55 :","Ap +1","","","","","","","","","","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Carnival of Misery IV","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","Broad expertise will work with cerebral","","","","","","","","Level 35 :","Carnival of Misery IV","","Level 55 :","AP +1","","","","","","","",""
"","In His Name (Rifle + Sanctified Staff)","","","","","","","","","","Skill Options","","","","","","","White Mage - Support Officer Overseer","","","","","","","","","","Skill Options","","","","","","","The Star Child - Arc Rifle Turbo Charge Wrath of the Emperor build","","","","","","","","","","Skill Options","","","","","","","Psi-Assassin","","","","","","","","","","Skill Options","","","","","","","Sword of the Emperor","","","","","","","","","","Skill Options","","","","","","","Fires of The Forge - Pyromancer build designed to solo unfair","","","","","","","","","","Skill Options","","","","","","","Land Raider Redeemer - Tank Pyro Build","","","","","","","","","","Skill Options","","","","","","","Psy Stifler (Psy Capacitor Duellist)","","","","","","","","","","Skill Options","","","","",""
"","Imperial World (Fellowship) - Sanctioned Psyker (Sanctic) - Officer - +2 Ballistic Skill / +2 Agility / +2 Fellowship","","","","","","","","","","Fellowship","","","","","","","Forge World (Subskin Armour) - Sanctioned Psyker (Biomancer) - Officer - +2 Fel / +2 WP / +2 TGH","","","","","","","","","","Fellowship","","","","","","","Voidborn - Sanctioned Psyker (Sanctic) - Soldier - Ballistic Skill +2 / Intelligence +2 / Perception +2","","","","","","","","","","Awareness / Intelligence","","","","","","","Forge World (Locomotive Systems) - Sanctioned Psyker (Sanctic) - Bladedancer - WS +2 / Agi +2 / Per +2","","","","","","","","","","Medicae / Demolitions / Awareness / Athletics","","","","","","","VoidBorn - Sanctioned Psyker (Sanctic) - Bladedancer - WS +2 / Agi +2 / Per +2","","","","","","","","","","Medicae / Demolitions / Awareness / Athletics","","","","","","","Forge World (Subskin armour) - Sanctioned Psyker (Sanctic) - Warrior - WS +2 / Str +2 / Tgh +2","","","","","","","","","","Athletics / Carouse","","","","","","","Forge World (Subskin armour) - Sanctioned Psyker (Pyromancer) - Warrior - WS +2 / Str +2 / Tgh +2","","","","","","","","","","Athletics / Carouse","","","","","","","Forge World (Locomotion System) - Sanctioned Psyker (Sanctic) - +2 WS / +2 AGL / +2 PER","","","","","","","","","","Medicae / Demolitions","","","","",""
"","Officer","","","Master Tactician","","","Exemplar","","","","","","","","","","","Officer","","","Overseer","","","Exemplar","","","","","","","","","","","Soldier","","","Master Tactician","","","Exemplar","","","","","","","","","","","Blade Dancer","","","Assassin","","","Exemplar","","","","","","","","","","","Blade Dancer","","","Master Tactician","","","Exemplar","","","","","","","","","","","Warrior","","","Arch-Militant","","","Exemplar","","","","","","","","","","","Warrior","","","Executioner","","","Exemplar","","","","","","","","","","","Blade Dancer","","","Master Tactician","","","Exemplar","","","","","","","","",""
