"Pet Protocols Consumables Weapons Name Pistols (light, 1h) Name Autopistol Corrupted Inferno Pistol Las Pistol [Mezoa] Bolt Pistol Foehammer Precise LasPistol Ripper Autopistol Stub Revolver","https://roguetrader.wh40k.wiki/Category:Pet_Protocol https://roguetrader.wh40k.wiki/Category:Consumable https://roguetrader.wh40k.wiki/Category:Weapon DMG DMG 3-4 10-16 6-8 8-12 9-14 6-8 3-5 7-11","AR PEN AR PEN 5 50 5 15 10 10 10 15","RoF RoF 6 1 2 4 1 4 8 2","Recoil Recoil ","Range Range 5-10 4-8 5-10 6-12 3-6 5-10 5-10 6-12","Ammo Ammo 12 3 20 4 6 30 16 6","Type Type Solid Melta Las Bolt Solid Las Solid Solid","Description Description Heretical 15+ Only. No proficiency required. Standard Inferno pistol benefits including 1AP attacks vs Meltas standard 2 Shotgun pistol. Actually only use 1AP despite tooltip Dead Eye Shot ","Where Where Common Prologue Pick Heretic Choice  Common starting Prologue Mechanicus 1 Prison Prison  Eurac V Prison ","Acts Acts 0 0 0 1 1 1 1 1","","","","","","","","","","","","","","","","","","",""
"Toxic Knife","10-12","10","1","","","","Knife","6 Toxic Dmg.","Footfall. Shadow Quarters","2","","","","","","","","","","","","","","","","","","",""
"Will to live","10-15","30","1","","","","Sword/Force","Enemies adjacent to the weilder have their toughness reduced by psy rating. the weilder gains psy rating toughness for each adjacent enemy. Sword deals additional psy rating damage","Explorators","2","","","","","","","","","","","","","","","","","","",""
"Awakened Nightmare","13-18","30","1","","","","Sword/Force","Each area attack increases veil degradation by psy rating and deals veil degredation x psy rating% more damage. this sword deals additional psy rating damage","Fellowship of the void","2","","","","","","","","","","","","","","","","","","",""
"Cursebringer","14-20","30","1","","","","Sword/Force","When this weapon hits, inflict psy rating warp burn on a failed willpower save. This sword deals additional
psy rating damage.","Kasballica Mission","2","","","","","","","","","","","","","","","","","","",""
"Heavy Maul","14-18","30","1","","","","Hammer","If the wielder has a shield equipped, whenever they hit the target with this maul, they immediately make a Shield Bash against that target. If it hits, the target must pass a Toughness resistance test with a +20 bonus or become stunned for 1 round.","DLC 2, Commander Lucra, Thassera","2","","","","","","","","","","","","","","","","","","",""
"Triumph of Retribution","12-16","30","1","","","","Sword/Force","Whenever the weilder kills an enemy veil degradation is reduced by 2xpsy rating. this sword deals additional
damage equal to psy rating.","Drusians","2","","","","","","","","","","","","","","","","","","",""
"Astartes Chainsword","19-30","25","","","","","Astartes/Chain/Sword","","Looting Shrieker Arsenal post taking over Den","3","","","","","","","","","","","","","","","","","","",""
"Blackhaze Venom Blade","20-25","15","1","","","","Drukhari","Attacking targets with toxin apply toxin with same power to all enemies with 2cells, dodge reduction 50","Comorragh: Trade with Tervantias","3","","","","","","","","","","","","","","","","","","",""
"Djin Blade of Yremeryss","28-38","25","1","","","","Sword/Drukhari","If the wielder deals dmg to the target with this sword, wielder gets +3 bonus to WS, BS, TGH and STR, while the target suffers -3 penalty to the same characteristics until the end of combat","Yremeryss loot","3","","","","","","","","","","","","","","","","","","",""
"Duelling Sword","17-30","15","1","","","","Sword","After scoring a critical hit with this swords, if the wieldier hasa weapon in the other hand they immediately attack the closest enemy with it with an attack that costs the least AP (Trigger only 1/round)","Looting Shrieker Arsenal post taking over Den & Commisar/Malice Trade","3","","","","","","","","","","","","","","","","","","",""
"Duelling Sword","17-30","15","1","","","","Sword","After scoring a critical hit with this swords, if the wieldier hasa weapon in the other hand they immediately attack the closest enemy with it with an attack that costs the least AP","","3","","","","","","","","","","","","","","","","","","",""
"Fine Edged Hektarii Blade","15-25","20","","","","","Drukhari","8 bleed base dmg. Melee attack inflicts bleed","Tervintas Ambush","3","","","","","","","","","","","","","","","","","","",""
"Glimmersteel Blade","16-26","25","1","","","","Drukhari","Attacks inflict (4) bleed if fail TGH check","Comorragh: Trade with Tervantias","3","","","","","","","","","","","","","","","","","","",""
"Hekatarii Blade of Bloodthirst","17-26","20","1","","","","Sword/Drukhari","Deals additional AGI bonus/2 damage to targets for each common negative effect on them. Doesn't apply when using Blade Dance. dodge reduction 20","2nd Arena Fight post being cured","3","","","","","","","","","","","","","","","","","","",""
"Lawbringer","16-24","20","1","","","","Power/Mace","Additional 2AP ability that ends the attacker's turn and deals additional +30 machine damage with 50% armor pen","Mangled Sector - Safe","3","","","","","","","","","","","","","","","","","","",""
"Serrated Glimmersteel Blade","17-28","15","1","","","","Sword/Drukhari","Each successful attack with this weapon increases the damage of the bleeding effect suffered by a target by +3","Malice / Commisar trade. Looting Shrieker Arsenal post taking over Den","3","","","","","","","","","","","","","","","","","","",""
"Shapened Venom Blade","31-41","15","1","","","","Sword/Drukhari","Venomous Attacks, +10%parry -10WS to enemy when hit","","3","","","","","","","","","","","","","","","","","","",""
"Shapened Venom Blade","31-41","15","1","","","","Sword/Drukhari","Venomous Attacks, +10%parry -10WS to enemy when hit","","3","","","","","","","","","","","","","","","","","","",""
"Kabalite Venom Blade","18-25","15","1","","","","Drukhari/Sword","Venomous Attacks, +10%parry -10WS to enemy when hit","Common since Commoragh, Nolla Septum system - hive world","3 , 4","","","","","","","","","","","","","","","","","","",""
"The Distortion","17-22","35","1","","","","Sword/Force","Each area attack increases veil degradation by psy rating and deals 2xveil degredation x psy rating% more
damage. this sword deals additional psy rating damage","Malice / Commissar","3","","","","","","","","","","","","","","","","","","",""
"Renunciation of weakness","18-23","25","1","","","","Sword/Force","Each critical hit reduces veil degradation by psy rating. increases willpower by 2xpsy rating for 1 round.
This sword deals additional psy rating damage.","Tervantias","3","","","","","","","","","","","","","","","","","","",""
"[Sol-Pattern] Power sword","29-43","35","1","","","","Power/Sword","gives +10% parry and - 10WS to enemy on hit","Emperor's Plan system - Eufrates II","4","","","","","","","","","","","","","","","","","","",""
"Rending Chainaxe","30-40","40","1","","","","Astartes/Axe/Chain/Heretical","","Emperor's Plan system - Eufrates II","4","","","","","","","","","","","","","","","","","","",""
"Singing Retribution","30-35","25","1","","","","Sword","Deals additional 10+2xAGIb to enemies with more than 50% wounds","Kibellah final quest reward","4","","","","","","","","","","","","","","","","","","",""
"Uralon's Accursed Crozius","40-50","35","1","","","","Power/Heretical rank3","on successful hit with this crozius all allies gain +5dmg against the target for 1 round. After the wielder deals damage with this weapon, each of the wielder's allies perfrom an AoO against the target","Emperor's Plan system - Eufrates II Uralon Loot","4","","","","","","","","","","","","","","","","","","",""
"Whispering Mercy","30-50","10","1","","","","Sword","Deals additional 10+2xAGIb to enemies with less than 50% wounds","Kibellah final quest reward","4","","","","","","","","","","","","","","","","","","",""
"[Ryza] Astartes Chainsword","35-52","25","","","","","Astartes/Chain/Sword","","Kasballica 25. pf102","4","","","","","","","","","","","","","","","","","","",""
"Auto-Striking Power Sword","26-39","30","1","","","","Power/Sword","When wielder parries, they counterattack with the attack that costs least AP +30% parry and - 10WS to enemy on hit","Footfall Amasecus - Chorda retinue loot","4","","","","","","","","","","","","","","","","","","",""
"Harbinger of Carnage","26-39","20","1","","","","Chain/Sword","Chain Weapons deal +25% damage. 10% Parry. -10 WS to enemy when hit","Quetza Temer","4","","","","","","","","","","","","","","","","","","",""
"Tarvanna's Last Stand","29-39","40","1","","","","Power/ Axe","This power axe deals +50% more damage if the wielder has less than 50% wounds. Bleeding 10","Quetza Temer","4","","","","","","","","","","","","","","","","","","",""
"Bonebreaker Maul","25-30","40","1","","","","Mace","When enemy hit, they must pass -10 TGH resistance test or fall prone and gain random trauma","Mundus Nullius system - Ruined Palace","4","","","","","","","","","","","","","","","","","","",""
"Improved Power Pick","20-40","40","","","","","Power","Has attack that increase AR Pen by 10% for 1 round","Drusian rep 26. pf92","4","","","","","","","","","","","","","","","","","","",""
"Kabalite Venom Blade","18-25","15","1","","","","Drukhari/Sword","Venomous Attacks, +10%parry -10WS to enemy when hit","Nolla Septum system - hive world","4","","","","","","","","","","","","","","","","","","",""
"Lilaethan's Fury","26-44","10","1","","","","Aeldari","50 dodge reduction. When wielder deals dmg with this weapon, the target is blinded until the end of combat. First attack with this weapon against blinded target does not set the attack on cooldown","Janus colony final decision (might only be accessible when allowing aAeldari to rule Janus but im not sure)","4","","","","","","","","","","","","","","","","","","",""
"Shapened Venom Blade","31-41","15","1","","","","Sword/Drukhari","Venomous Attacks, +10%parry -10WS to enemy when hit","Nolla Septum system - hive world","4","","","","","","","","","","","","","","","","","","",""
"Sharpened Poisoned Hekatarii Blade","27-35","20","1","","","","Sword/Drukhari","venomous strike only, 20 dodge reduction","Nolla Septum system - hive world","4","","","","","","","","","","","","","","","","","","",""
"Singer of Fearsome Sagas","30-45","50","1","","","","Astartes/Power/Axe","10 bleeding","Bridge - Ulfar quest completion reward","4","","","","","","","","","","","","","","","","","","",""
"Smiter","30-35","10","","","","","Power Pick","Ignores Armour and Deflection","Explorators 32 pf 142","4","","","","","","","","","","","","","","","","","","",""
"Tearing Vengance","25-40","40","1","","","","Power/Axe","Gains additional flat 1.5*(STRb+TGHb) bonus dmg. First attack each round against a bleeding target resores 1AP to the wielder. Wielder suffers 6 damage every turn","Frozen Prince system - Shard of the holy world","4","","","","","","","","","","","","","","","","","","",""
"Triumph of Faith","30-35","50","","","","","Power/Sword","Ignores Deflection","Drusian rep 24. pf 87","4","","","","","","","","","","","","","","","","","","",""
"Untained Sacrament","26-45","35","1","","","","Astartes/Chain/Sword","Wielder suffers -75% mental and warp damage","Emperor's Plan system - Eufrates II","4","","","","","","","","","","","","","","","","","","",""
"Weighty Axe","7-11","20","1","","","","Axe","","","","","","","","","","","","","","","","","","","","","",""
"Symphony of Pain x2","30-43","20","1","","","","Exotic Sword","The target must pass a toughness resistance test or suffer a random common negative effect for 2 rounds","Ruined Palace","4","","","","","","","","","","","","","","","","","","",""
"Imminent Torment","32-41","20","1","","","","Exotic Sword","All enemies affected by poison cannot dodge or parry attacks from this weapon","Vheabos 6 project Captive Xenos / Contract","4","","","","","","","","","","","","","","","","","","",""
"Watchers from Above","20-30","30","1","","","","Sword","Wielder gain +25% dodge & parry. Enemy hit by this suffer -25WS until wearer's next turn","Janus Proj5: Pleasure World","4","","","","","","","","","","","","","","","","","","",""
"Insatiable Djin Blade","28-38","25","1","","","","Exotic Sword","When dealing damage with this sword, the character gains a +3 bonus to Agility, Perception, Intelligence, and Willpower, while the target suffers a -3 penalty to the same stats for the rest of the combat.","Contract","4","","","","","","","","","","","","","","","","","","",""
"Improved Power Pick","20-40","40","1","","","","Power Axe","This weapon allows you to perform an additional attack action that increases armor penetration by 10 for all subsequent attacks on this target for 1 round. The effect is cumulative.","Drusians","4","","","","","","","","","","","","","","","","","","",""
"Partner in Death","35-42","20","1","","","","Sword","When an ally in an adjacent square attacks an enemy, the weapon's wielder makes an attack of opportunity against that enemy if range allows.","Drusians","4","","","","","","","","","","","","","","","","","","",""
"Smiter","30-35","100","1","","","","Power","This weapon ignores enemy armor and damage reflection.
This weapon allows you to perform an additional attack action, increasing armor penetration by 10 for all subsequent attacks on that target for 1 round. This effect stacks.","Explorators ","4","","","","","","","","","","","","","","","","","","",""
"Incinerator","28-36","40","1","","","","Sword/Force","Each critical hit scored inflicts 3x psy rating warp burn. This sword deals psy rating additional damage","Kasballica","4","","","","","","","","","","","","","","","","","","",""
"Sacrifice","26-34","40","1","","","","Sword/Force","Kills reduce veil degradation by psy rating. weilder gains 1 psy rating for 1 round. This sword deals
additional psy rating damage","Drusians","4","","","","","","","","","","","","","","","","","","",""
"Dark Providence","20-28","40","1","","","","Sword/Force","if weilder is psyker they can re-roll failed parry attempt once per attack with a willpower success chance
this sword deals additional psy rating damage","Explorators","4","","","","","","","","","","","","","","","","","","",""
"Immaterium's Channeller","32-40","40","1","","","","Sword/Force","if the weilder's psy rating is 9 or higher, damage, dodge reduction and armour penetration increased by
% equal to veil degrdation. This sword deals additional psy rating damage","Fellowship of the void","4","","","","","","","","","","","","","","","","","","",""
"Virulent Slicer","35-53","20","1","","","","Exotic Sword","""10% parry, -10 to enemy weapon skill when hit""","Marazhai quest world act 5","5","","","","","","","","","","","","","","","","","","",""
"Blade of the Blood Hunter","37-55","0","1","","","","Exotic Sword","This weapon's armor penetration is (WS / 2)%","Marazhai quest world act 5","5","","","","","","","","","","","","","","","","","","",""
"Heart Piercer","35-47","0","1","","","","Exotic Knife","This weapon deals direct damage. Dodge reduction 50","Marazhai quest world act 5","5","","","","","","","","","","","","","","","","","","",""
"Astartes Power Sword","42-50","45","1","","","","Power Sword","The wielder can only perform area attacks with this weapon. These attacks cost -1AP and deal 0 damage to the wielder's allies","Ulfar Quest World act 5","5","","","","","","","","","","","","","","","","","","",""
"Mjodlner","30-42","70","1","","","","Power Hammer","This weapon only has strike ability. On hit, each enemy in a 2 cell radius  around the target is also attacked and cannot parry","Ulfar Quest World act 5","5","","","","","","","","","","","","","","","","","","",""
"Singer of Fearsome Sagas (version 2)","35-50","65","1","","","","Astartes/Power/Axe","Attacks by this axe deal additional damage equal to +5% of the target's Maximum wounds. This bonus is applied to each enemy only once per round (appears to be more than 5% currently)","Tomb world Epitaph","5","","","","","","","","","","","","","","","","","","",""
"Melee 2H","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Name","DMG","AR PEN","Strikes","","","","Type","Description","Where","Acts","","","","","","","","","","","","","","","","","","",""
"Axe of the Omnissiah","9-11","35","1","","","","Power Axe","Omnissiah's Axes grant the character a +15 Melee bonus.","Pasqal, Rykad Minoris","1","","","","","","","","","","","","","","","","","","",""
"[Retobi Pattern] Greatsword","10-18","15","1","","","","Sword","""+10% Parry, -10 to enemy Melee when hitting.""","Fellowship of the Void","1","","","","","","","","","","","","","","","","","","",""
"[C-Delp] Ommisiah Axe","16-24","40","1","","","","Axe/Power","Use AoE attack for AoO","Mechanicus Trader 7. PF26","2","","","","","","","","","","","","","","","","","","",""
"Chainsaw","4-6","10","3","","","","Chainsaw","if first strike parried/dodged all other are parried/dodged If first hits, all hit","Shrine Ambush","2","","","","","","","","","","","","","","","","","","",""
"[LD] Industrial Hammer","22-33","10","1","","","","Hammer","","pirate 18. PF53","2","","","","","","","","","","","","","","","","","","",""
"Death Cult Blade","15-25","20","1","","","","Sword","Minus 2xAGI to the targets parry, AGI/2 to wearers critical chance","Void shadows DLC - Bath Investigation puzzle solved -> Pelium Solitas System-> Savannah World","2","","","","","","","","","","","","","","","","","","",""
"Death Cult Power Blade","16-18","35","1","","","","Sword/Power","Death Cult Weapon","Dargonus Event 2","2","","","","","","","","","","","","","","","","","","",""
"Drukhari Klaive","16-24","35","1","","","","Drukhari","gives +10% parry and - 10WS to enemy on hit","Kasballica 4. PF60/ Langrenns Belt system - Plundered Station","2","","","","","","","","","","","","","","","","","","",""
"Cry of Agony","16-25","35","1","","","","Drukhari","This klaive's area attack has an increased area of effect.","Jae recruitment reward","","","","","","","","","","","","","","","","","","","",""
"Hammer of Epiphany","15-20","35","1","","","","Hammer/Power","All dmg dealth with when this weapon pushes enemy +100%","Foulstone Proj.3: Shrine","2","","","","","","","","","","","","","","","","","","",""
"The Hand of Xenocide","15-23","40","1","","","","Axe/Mechanicus","Deals 10% more dmg to xenos (Mechanicus weapon stun on hit)","Kiava Gama Proj.1 Calculating Holiness","2","","","","","","","","","","","","","","","","","","",""
"Heavy Emer. Cutter","6-7","50","4","","","","Chainsaw","Each attack increase crit dmg 1 + STR Bon / 2 til end of combat","Mechanicus 19. PF57","2","","","","","","","","","","","","","","","","","","",""
"Industiral Hammer","10-18","40","1","","","","hammer","","Pirate 5. PF 20","2","","","","","","","","","","","","","","","","","","",""
"Power Claymore","13-18","30","1","","","","Sword/Power","","Drusian 4. PF32","2","","","","","","","","","","","","","","","","","","",""
"Roaring Thunder","20-25","40","1","","","","Hammer/power","Deals + 3 dmg and +10% stacking stun chance based on target's deflection. TGH resistance test","Drusian 14. PF47","2","","","","","","","","","","","","","","","","","","",""
"Rusty Chainsaw","5-8","10","3","","","","Chainsaw","","Drusian 7. PF27","2","","","","","","","","","","","","","","","","","","",""
"Serrated Greatsword","13-20","5","1","","","","Sword","Inflict 1 Laceration/crit. Each Stack increase DMG +10%","Pirate 0. PF 10","2","","","","","","","","","","","","","","","","","","",""
"Thunder Hammer","11-17","40","1","","","","Hammer","","Footfall Cinder Fight","2","","","","","","","","","","","","","","","","","","",""
"Wasteland Twister","10-25","35","1","","","","Sword/Power","gives +10% parry and - 10 WS to enemy on hit","Dargonus Event 2","2","","","","","","","","","","","","","","","","","","",""
"Rusty Rock Saw","5-8","10","3","","","","Heavy Rock Saw","Each attack with this chainsaw involves multiple hits. If the first hit connects, so do the subsequent hits. If the target dodges or parries the first hit, the same happens with subsequent hits.","Drusians","2","","","","","","","","","","","","","","","","","","",""
"Heavy Emergency cutter","6-7","50","4","","","","Heavy Rock Saw","Each attack with this saw increases the wielder's critical damage by (1 + STR bonus / 2). This bonus stacks and persists until the end of combat.","
Explorators","2","","","","","","","","","","","","","","","","","","",""
"Industrial hammer","10-18","40","1","","","","Power Hammer","Maces and hammers allow you to perform a special attack that knocks back enemies","
Fellowship of the void","2","","","","","","","","","","","","","","","","","","",""
"[LD Pattern] Industrial Hammer","22-33","10","1","","","","Heavy Rock Saw","Maces and hammers allow you to perform a special attack that knocks back enemies","
Fellowship of the void","2","","","","","","","","","","","","","","","","","","",""
"Bloodseeker Klaive","24-39","25","1","","","","Drukhari/Exotic/Sword","gives +10% parry and - 10WS to enemy on hit, When it hits bleeding enemy, removes the bleed and inflicts toxin of the same power. The wielder gains +target's bleeding level * 5 dodge until their next turn","","3","","","","","","","","","","","","","","","","","","",""
"Incubus Klaive","21-32","35","1","","","","Drukhari/Exotic/Sword","gives +10% parry and - 10WS to enemy on hit","Chasm","3","","","","","","","","","","","","","","","","","","",""
"[Death Cult Pattern","36-48","45","1","","","","Sword","Minus 2xAGI to the targets parry, AGI/2 to wearers critical chance","Kibellah final quest loot","4","","","","","","","","","","","","","","","","","","",""
"[Mars-Pattern] Omnissian Axe","23-39","45","1","","","","reject the fles1/Power/Axe","","Pasqal personal quest location","4","","","","","","","","","","","","","","","","","","",""
"Restless Absolution","33-49","40","1","","","","Sword/Power","If this weapon's attack fully negates the target's armour, this attack deals additional 75% damage","Argenta quest location","4","","","","","","","","","","","","","","","","","","",""
"[LD] Chainsaw","7-9","30","5","","","","Chainsaw","Power Pick Passive","Explorators 29. pf 125","4","","","","","","","","","","","","","","","","","","",""
"[Mars] Thunder Hammer","28-39","30","","","","","Power/Hammer","Attack always crit vs stunned & prone enemy. Crit dmg + 80%","Explorators 33 pf 144","4","","","","","","","","","","","","","","","","","","",""
"Bonecracker","28-39","30","1","","","","Hammer","Every successful basic attack made with this weapon inflicts random trauma on the target","Sire loot DLC quest","4","","","","","","","","","","","","","","","","","","",""
"Ceremonial Blade","25-40","45","1","","","","Sword","Special attack - deals double damage, but target gets +50% dodge","DLC Train ambush, take blade from Death Cultist after the fight","4","","","","","","","","","","","","","","","","","","",""
"Cold Blooded","20-40","50","1","","","","Blade/Sword","Has an additional attack that does not count towards attack limit at 20 wound cost per use","Drusian 29. pf 97","4","","","","","","","","","","","","","","","","","","",""
"Emergency Drill","20-25","40","3","","","","Chainsaw","Costly to attack (+1AP average). Have special attack (7AP) that creates permanent opening on target","Kasballica 27. pf108","4","","","","","","","","","","","","","","","","","","",""
"Improved Chainsaw","6-8","40","4","","","","Chainsaw","Has an extra attack action that increase subsequent attacks armour pen by 10% for 1 round. Stacks","Drusian rep 22. pf 84","4","","","","","","","","","","","","","","","","","","",""
"Ommisiah Providence","25-35","50","","","","","Reject the Flesh 1","If target of this axe suffers from expose weakness, all energy damage dealt to target increase by 3 x INTb % dmg. If target isn't suffering from exploit or exposed weakness, both are inflicted on target after attack","Explorators 31. pf 136","4","","","","","","","","","","","","","","","","","","",""
"Partner in death","35-42","20","1","","","","Blade/Sword","Whenever ally adj to wielder attack enemy, wielder makes AoO vs that enemy if possible","Drusian rep28. pf 95","4","","","","","","","","","","","","","","","","","","",""
"Righteous Justice","30-50","20","1","","","","Power/Sword","Dogmatic bonuses against Daemons, Xenos, Psykers. Dogm 45 ignore dodge. Dogm 200 ignore deflection. 
Dogm 500 ignore armour.","Drusian rep28. pf 72","4","","","","","","","","","","","","","","","","","","",""
"Well-Maintained Chainsaw","15-25","25","4","","","","Chainsaw","if first strike parried/dodged all other are parried/dodged If first hits, all hit","After meeting Janris behind demo check during DLC quest","4","","","","","","","","","","","","","","","","","","",""
"Witch Staff","10-13","25","1","","","","Aeldari","Has Thunder Slam Attack like thunder hammer. This staff gains +10% armor pen for every level of wearer's PR","Quetza Temer - Tervantias Lab Idira quest","4","","","","","","","","","","","","","","","","","","",""
"Piety's Charge","28-42","45","1","","","","Power/Hammer","All collision by this hammer's pushing attack deals +300% more dmg. All target hit pass a +10 AGI check or fall prone","Foulstone Proj5: Reliquary","4","","","","","","","","","","","","","","","","","","",""
"Craven's Bane","31-41","25","1","","","","Chain/Sword","","Vheabos proj4: Navy Whips","4","","","","","","","","","","","","","","","","","","",""
"Triumph of Faith","25-35","40","1","","","","Power/Hammer","On successful hit, target check -10 TGH or become stunned. If target fails test, attack has no CD","Foulstone Event 4","4","","","","","","","","","","","","","","","","","","",""
"Carnivorous Blade","30-40","35","1","","","","Exotic Sword","This wepaon deals +3% damage for each 1% of the target's missing wounds. 10% parry, -10 WS to enemy on hit","Footfall, max rep with explorators finishing chapter 4","4","","","","","","","","","","","","","","","","","","",""
"Improved Heavy Rock Saw","6-8","40","4","","","","Heavy Rock Saw","This weapon allows you to perform an additional attack action that increases armor penetration by 10 for all subsequent attacks on this target for 1 round. The effect is cumulative.","Drusians","4","","","","","","","","","","","","","","","","","","",""
"Cold-blooded","20-40","50","1","","","","Sword","This blade allows you to perform an additional attack, Double-Edged Strike.","Drusians","4","","","","","","","","","","","","","","","","","","",""
"[LD Pattern] Rcok Saw","7-9","30","5","","","","Heavy Rock Saw","This weapon allows you to perform an additional attack action that increases armor penetration by 10 for all subsequent attacks on this target for 1 round. The effect is cumulative.","
Explorators","4","","","","","","","","","","","","","","","","","","",""
"Emergency drill","20-25","40","3","","","","Heavy Rock Saw","This weapon allows you to perform a special attack called Drill Strike.","Kasballica Mission","4","","","","","","","","","","","","","","","","","","",""
"[LD Pattern] Well-Maintained Heavy Rocksaw","12-16","25","4","","","","Heavy Rock Saw","Each attack with this chainsaw involves multiple hits. If the first hit connects, so do the subsequent hits. If the target dodges or parries the first hit, the same happens with subsequent hits.","Void Shadows DLC","4","","","","","","","","","","","","","","","","","","",""
"Well-Maintained Heavy Rock saw","15-25","25","4","","","","Heavy Rock Saw","Each attack with this chainsaw involves multiple hits. If the first hit connects, so do the subsequent hits. If the target dodges or parries the first hit, the same happens with subsequent hits.","Void Shadows DLC","4","","","","","","","","","","","","","","","","","","",""
